filename,dist_error,angle_error
14AB01963,6.757948158605303,5.009581232961597
14AB02212,2.595245286585172,5.192174995706343
14AB02563,4.548098662597966,8.46369226776372
14AC02307,3.0089765318475,5.803293593747606
14AD01860,2.508018355919491,4.391563998934668
14AE02363,6.312280175389177,10.835578602843386
14AF03209,8.324085475477078,13.360525818392556
14AG02058,8.597050116206509,7.742160249158361
14AH01539,3.22301162266594,6.995564291075573
14AH03190,15.670847542602663,5.103296887607458
14AJ02284,31.172252963544533,121.17910320899453
14AL01844,4.991173655638384,7.1112445101575466
14AM01672,10.216577485017202,35.1170118551926
14AM03052,6.480383146944653,10.66818300781523
14AM03221,6.337025225035291,6.440048814296377
14AP01771,5.166338643278008,12.784239586921373
14AP02565,9.281224615089757,5.754654256258537
14AR03162,6.838529790338341,17.136050116292676
14AS01700,7.9955364857782705,13.966499780953475
14AS02334,2.3780285381993895,6.201857679901564
14AS03134,6.925870952856951,9.868256199861719
14AV01314,6.43214532572409,6.16413282253517
14AW02659,5.778605361294937,2.5027523216095564
14BC01859,3.7150887666863555,9.321212129250826
14BD02466,12.477709819729077,4.35767272984621
14BH01520,10.18208271166319,5.415039915111771
14BJ02261,3.204213597850071,6.614851552036886
14BO02653,3.93189791405772,9.222143498895441
14BP03151,2.712875584058816,3.421327700929923
14BV02538,2.818812454109793,7.217197361148498
14CB01779,2.4185241978247687,3.352369197657702
14CB02430,3.973880765423966,7.292830316194534
14CC02240,4.186635600713852,7.900651306919204
14CD03161,4.7968072356822455,12.021014873498883
14CF03115,2.2343493133065926,2.93640240210993
14CG02578,3.539754756754677,9.396750553782038
14CH02511,5.216769595083037,3.2890172556088224
14CJ02254,1.7359515163600472,3.914192227030427
14CL02520,2.1377475603560208,5.881688398083042
14CM03173,3.0859922182671746,5.919610472946449
14CR02551,2.695352383188659,5.14041950412245
14CS02396,3.7444960806074064,1.4090357456156513
14CW01826,6.214139531100216,13.588997785461283
14DB01755,3.6693881079331967,1.5921366957434142
14DB02144,22.177007017630107,76.50657675225561
14DC01669,2.462830919059665,5.251751233435511
14DD01640,6.170892294342944,1.8507487632392294
14DF01712,5.815993893152874,6.2117177852215475
14DG02042,5.991225315889653,8.21032052913386
14DH01760,10.340976191223145,1.894681557559064
14DH03168,2.4477309421262414,6.217773252764828
14DM01990,5.4376993965454785,9.228451982705531
14DM03106,8.716791778279289,7.120076561535583
14DN02126,21.1788154292848,60.287892716543055
14DR02063,9.435450605681869,8.68380129837016
14DS02014,4.447818599851522,4.857522105836986
14DS02447,3.6274033335400815,5.63253338878891
14DV01715,4.142003632408664,0.5203722052487418
14EB01652,3.9570742478517964,6.427699384514165
14EC01433,3.991655077340322,10.459560892804063
14EC02605,4.454336158378142,3.054546297547433
14EG02184,1.159450440374208,2.7040605467695658
14EH01870,5.219270897898777,13.923630707985266
14EK01880,1.7142335465313077,4.75880206151701
14EM02229,3.970886126643712,9.068740651582283
14EP01551,4.997511995481196,13.281439607213024
14ES02667,2.9304775079445307,6.695710629825554
14EW02411,2.3481412592624777,5.408400898674691
14FA03085,3.703507306307632,7.505927018071014
14FG02424,7.382610305294539,12.420174683880836
14HP03050,2.7956726049283396,5.855373281736657
14JC03178,3.298879782091891,6.087477134454388
14JH03195,3.642334829206239,7.540172813851958
14KA03092,5.032102423338659,7.742550884728151
14KM03116,3.6728483187651446,6.368774847641611
14LA03160,3.188409537820769,6.470740040866562
14LM03176,6.631175576552844,5.741879796746233
14MB03226,5.535072660417597,6.188943909114715
14MH03101,10.619931476201469,7.249034162825529
14MV03103,5.182886555703877,3.1964855559961034
14NS03046,2.235068755169482,3.1959583865026406
14PR02080,7.907159359241501,19.453090468802205
14RC03084,4.425320027810092,8.47542966743425
14RE03104,6.760350199427599,11.032197525299004
14RH03198,2.129021409567198,6.079841117945026
14RS03097,7.047458051000763,10.78949907148046
14SD03193,4.422205951753665,8.67661095079104
14SP03073,4.875568952462788,8.625466953967422
